                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                 1.3526,                0.74873,                 1.2226,                 0.8538,                0.75769,                0.82706,                 0.4741,                 1.4359,                0.98028,                 1.3636,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.3586,                0.75389,                 1.2246,                0.89305,                0.80692,                0.87338,                 0.5057,                 1.3555,                0.74999,                 1.2965,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.3395,                0.74335,                 1.2165,                0.83197,                0.86671,                0.87721,                0.50437,                   1.38,                0.75395,                 1.3466,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.3393,                0.71886,                 1.2091,                0.86254,                0.83302,                0.86497,                0.49424,                 1.3774,                0.74714,                 1.3337,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.3217,                 0.7086,                 1.2108,                 0.8799,                0.84262,                0.87015,                0.49237,                 1.3911,                0.73203,                 1.3405,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.3244,                0.72045,                 1.2083,                0.88643,                0.84529,                0.88417,                0.50146,                 1.3879,                0.76509,                 1.3358,             0.00086637,             0.00086637,             0.00086637
                     34,                   1.32,                0.72508,                  1.209,                0.91054,                0.82887,                0.88556,                0.52234,                 1.3519,                0.72541,                 1.3075,               0.000854,               0.000854,               0.000854
                     35,                 1.3273,                0.70222,                 1.2054,                0.90528,                0.85289,                0.88465,                 0.5104,                 1.3512,                0.71161,                 1.3156,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.3107,                0.71032,                 1.1958,                0.89091,                0.84898,                0.87915,                0.51773,                 1.3292,                0.72156,                 1.2993,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.3125,                0.71417,                 1.1983,                0.88234,                0.78667,                0.84495,                0.48101,                 1.3909,                0.76632,                 1.3539,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.3106,                0.71241,                 1.2055,                0.87735,                 0.8538,                0.89049,                0.51957,                 1.3246,                0.71584,                 1.2989,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.3037,                0.70193,                 1.1893,                 0.8811,                0.85347,                0.88775,                0.52411,                 1.3414,                0.69914,                  1.311,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.2928,                0.69672,                 1.1892,                0.89259,                0.83191,                0.88574,                0.51451,                 1.3622,                0.70926,                 1.3216,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.2919,                0.68928,                  1.188,                0.88678,                0.86941,                0.88814,                0.52498,                 1.3343,                0.70483,                 1.2985,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.2701,                0.68085,                   1.17,                0.89306,                0.85059,                 0.8751,                0.49439,                 1.3421,                0.71462,                 1.3187,               0.000755,               0.000755,               0.000755
                     43,                 1.2742,                0.67755,                 1.1737,                0.89804,                0.85938,                 0.8864,                0.51964,                 1.3288,                0.71581,                 1.2971,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.2763,                0.68015,                 1.1848,                0.80887,                0.73547,                 0.8231,                0.47246,                 1.4266,                0.98005,                 1.3609,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.2768,                0.66598,                 1.1801,                0.87125,                0.85086,                0.87954,                0.51102,                 1.3745,                0.72205,                 1.3385,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.2486,                0.66803,                  1.168,                0.87378,                0.87631,                0.89104,                0.53055,                 1.3436,                0.66789,                  1.319,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.2641,                0.66363,                  1.173,                0.90783,                0.82644,                0.87851,                 0.4997,                 1.3936,                0.71859,                  1.342,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.2693,                0.65615,                 1.1758,                0.90067,                0.85003,                0.88221,                0.51756,                 1.3563,                0.70247,                 1.3146,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.2541,                0.65139,                 1.1672,                0.89295,                0.85176,                0.88375,                0.51472,                 1.3844,                0.67551,                 1.3453,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.2498,                0.64234,                 1.1537,                0.89459,                0.82416,                 0.8666,                0.49819,                 1.3514,                0.71436,                 1.3209,               0.000656,               0.000656,               0.000656
                     51,                 1.2352,                  0.638,                 1.1638,                0.86907,                0.87346,                0.88403,                0.50664,                 1.3615,                  0.686,                 1.3095,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.2352,                0.64634,                 1.1561,                 0.8775,                0.86249,                0.88317,                 0.5095,                 1.3758,                0.67695,                 1.3284,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.2269,                0.63972,                 1.1501,                0.88731,                0.86617,                 0.8892,                0.53171,                 1.3088,                 0.6634,                 1.3001,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.2291,                0.62745,                 1.1513,                0.90129,                 0.8486,                0.89331,                0.52362,                  1.349,                0.68233,                 1.3211,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.2173,                0.62531,                 1.1528,                0.90305,                0.85705,                0.89706,                0.54056,                 1.3152,                0.66201,                 1.2989,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.1963,                0.61911,                 1.1381,                0.90714,                0.85895,                 0.8969,                0.52885,                 1.3438,                0.65457,                 1.3207,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.2039,                0.61191,                 1.1445,                0.91156,                 0.8557,                0.90391,                0.53108,                 1.3284,                0.66191,                 1.3183,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.1983,                0.61663,                 1.1314,                0.91449,                 0.8543,                0.89564,                0.53814,                 1.3169,                0.66711,                 1.2972,               0.000557,               0.000557,               0.000557
                     59,                 1.1802,                0.59986,                 1.1278,                0.89396,                0.87135,                0.89539,                0.53213,                 1.3377,                 0.6721,                 1.2977,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.1899,                0.60718,                 1.1278,                0.89383,                0.86134,                0.89532,                0.52915,                  1.326,                0.67155,                 1.2983,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.1843,                0.59542,                 1.1255,                0.88702,                0.87269,                0.89257,                0.52817,                 1.3496,                0.66344,                  1.315,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.1733,                 0.5919,                 1.1294,                0.87573,                0.87316,                0.89672,                 0.5329,                 1.3352,                 0.6659,                 1.3132,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.1661,                0.59636,                 1.1189,                 0.8892,                0.86697,                0.88675,                0.53096,                 1.3293,                0.66069,                 1.3056,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.1658,                0.59149,                 1.1185,                0.91703,                0.83097,                0.88798,                0.52777,                 1.3376,                0.66091,                 1.3143,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.1699,                0.59144,                 1.1204,                0.90672,                0.86334,                0.89574,                0.54087,                  1.325,                0.66129,                 1.3093,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.1506,                0.58462,                 1.1151,                0.86885,                0.88565,                0.89328,                0.52941,                 1.3377,                 0.6662,                 1.3297,               0.000458,               0.000458,               0.000458
                     67,                 1.1575,                0.58275,                 1.1161,                0.89209,                0.86418,                0.89217,                0.53404,                 1.3266,                0.66013,                 1.3168,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.1427,                0.57671,                  1.107,                 0.8774,                0.87083,                0.88486,                0.53807,                 1.3215,                0.65174,                 1.3046,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.1469,                0.57825,                 1.1097,                0.90577,                0.85015,                0.88866,                 0.5321,                 1.3306,                0.66091,                 1.3151,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.1357,                0.57773,                 1.1085,                0.89278,                0.87014,                0.89682,                0.54498,                 1.3363,                0.64684,                 1.3347,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.1206,                0.56782,                 1.0983,                0.87478,                0.87062,                0.88987,                0.53749,                 1.3251,                0.65657,                 1.2961,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.1199,                0.55732,                 1.1067,                0.89788,                0.85894,                0.88275,                0.52586,                 1.3191,                 0.6599,                  1.301,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.1142,                 0.5578,                  1.098,                0.89971,                0.85294,                0.89477,                0.53844,                 1.3186,                0.64769,                 1.3068,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.1202,                0.56042,                 1.0967,                0.87723,                0.86947,                 0.8873,                0.52897,                 1.3216,                  0.657,                 1.2974,               0.000359,               0.000359,               0.000359
                     75,                 1.1007,                0.54134,                 1.0874,                0.88023,                0.87382,                0.88979,                0.53097,                 1.3314,                0.66443,                 1.3152,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.0974,                0.54922,                  1.092,                0.89253,                0.86202,                0.88422,                0.52979,                   1.33,                 0.6684,                 1.3175,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.1048,                 0.5456,                 1.1016,                0.90967,                0.84743,                0.89155,                0.53139,                 1.3229,                0.64595,                 1.3087,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.0803,                0.53814,                 1.0812,                0.88384,                0.87744,                0.89325,                0.53522,                 1.3391,                 0.6534,                 1.3326,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.1007,                0.54538,                 1.0888,                0.89057,                 0.8723,                0.89615,                0.53822,                 1.3187,                0.64509,                 1.3052,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.0644,                0.53302,                 1.0739,                0.91806,                 0.8425,                0.89363,                0.53502,                 1.3369,                0.64442,                 1.3137,             0.00028475,             0.00028475,             0.00028475
