,id,descripcion,titulo,solucion,tipo_incidencia,descripcion_interna,etiqueta
20,165537,buenos días me podían indicar como puedo sacar un listado de los clientes que gastaron más de una cantidad al añosaludos patricia,listado de clientes que superan cierta cantidad de facturacion,desde cartera listado efectos de clientes sacar el listado en excel y ya hay modificarlo como quierantambién tendrían algún cubo disponible pero patricia no tiene permisos para poder andar con ellos,consulta del cliente,buenos días me podían indicar como puedo sacar un listado de los clientes que gastaron más de una cantidad al añosaludos patricia04122023mlaura incidenciaquiere un listado de clientes cuya facturación haya superado una cantidad durante este año 2023le enseño desde cartera listado efectos de clientes sacar el listado en excel y ya hay modificarlo como quierantambién tendrían algún cubo disponible pero patricia no tiene permisos para poder andar con ellos,gestión
21,165529,en el filtro de listados no le salen unos articulos,articulossuministro de venta,tenia un filtro aplicado a los artículos,consulta del cliente,horario de atención telefónica de 900 a 1330 en el filtro de listados no le salen unos articulos 04122023mlauratenia aplicado un filtro,gestión
22,165526,consumidas las unidades de albaran al reiniciar se habia quedado bloqueado,unidades consumidasalbaran,se procesa movimientos para poder volver a generar los movimientos y poder trabajar correctamente,consulta del cliente,consumidas las unidades de albaran al reiniciar se habia quedado bloqueadoproblemano se ha guardado movimientos de albaranes de venta y se ha quedado en transacciones de stock en ediciónsoluciónse procesa movimientos para poder volver a generar los movimientos y poder trabajar correctamente,gestión
23,165519,licencia caducada,licencia caducada,se renuevan licencias temporales de a3erp,consulta del cliente,licencia caducadasoluciónse renuevan licencias temporales de a3erp,sistemas
24,165515,103846 no figura lote cuando lo tiene,no marca lote,me enseña el stock que les queda del artículo 103846procede a realizar el albarán y le marca el lote del stock que acabamos de ver,consulta del cliente,103846 no figura lote cuando lo tiene04122023mlaura incidenciame enseña el stock que les queda del artículo 103846procede a realizar el albarán y le marca el lote del stock que acabamos de verdice que hace 5 minutos no se lo marcaba estaba haciendo facturación quizás el programa andaba ocupando memoria con esto,gestión
25,165511,buenos días necesitaría poder tener sacar un informe de los centros de coste como si fuese un mayor donde encuentro esa información porfavor gracias b17903527 noelia gonzalez betancor tel 34 972 15 88 89 fax 34 972 15 88 90,consulta centros de coste,listados y balances analíticospara obtener listados de cualquier tipo también se solicita el centro de coste por lo que si desea un balance de situación o de sumas y saldos de un departamento determinado basta con indicar en los límites el centro de coste deseadopor ejemplo si desea realizar un balance de sumas y saldos la ventana donde se solicitan los límites es tal y como se muestra a continuación todos los listados tienen la opción de indicar el centro de coste por lo que se tiene fácilmente la posibilidad de obtener toda la información para cada uno de los departamentos definidosen esta ventana puede ver el ejemplo concreto del listado del libro diario en el que se le pide el centro de coste los documentos donde puede elegir el centro de coste son los siguienteslibro diariolibro mayorcuenta de pérdidas y ganancias analítica y por mesesbalances de situación normal y comprobación y sumas y saldossaldos mensuales,consulta del cliente,horario de 800 1300 y 1500 1800 buenos días necesitaría poder tener sacar un informe de los centros de coste como si fuese un mayor donde encuentro esa información porfavor gracias b17903527 noelia gonzalez betancor tel 34 972 15 88 89 fax 34 972 15 88,otro
26,165504,cuando paso un listado de articulos a excel no figuran la columna de lotes,listado articulos con lote,hasta la versión 140501 no tiene la posibilidad de sacar el excel con lotes desde listado de stock a un día si quiere sacar el excel con lotes deberá sacar un inventario y exportar a excel deberán también realizar un recálculo de stocks y precios medios,consulta del cliente,horario de 930 a 1330cuando paso un listado de articulos a excel no figuran la columna de lotessoluciónhasta la versión 140501 no tiene la posibilidad de sacar el excel con lotes desde listado de stock a un día si quiere sacar el excel con lotes deberá sacar un inventario y exportar a excel deberán también realizar un recálculo de stocks y precios medios,gestión
27,165498,solicita ayuda para el envío de una factura a face,envío factura face,como el código que tiene que indicar en la factura es muy largo sale el error tiene tres opcionesindicarlo en observacionesindicarlos en un word y subirlo como anexoindicarlo en el cuerpo de la facturaademás sería interesante no mover la ruta donde el programa deja las facturas mis documentos factura face y así poder encontrarlas luego a la mayor brevedad y poder subirlas rápidamente,consulta del cliente,horario verano 700 1500solicita ayuda para el envío de una factura a face04122023mlaura incidenciatienen dos códigos que superan los 25 dígitos para informar de la factura y subirla al facecuando va a crear el xml y mete los códigos le sale el error de que el código que inserta es superior a los 20 dígitos permitidosse los pongo en el apartado de observaciones de la factura pero su modelo de impresión personalizado no imprime las observaciones por lo que no nos sirve informarlos ahíle doy como segunda opción indicarlos en un word y adjuntarlo como anexo pero me dice que como anexo en la página de face no puede adjuntar un word con ambos códigosle doy como tercera opción indicarlo en el cuerpo de la factura como un artículo 0lo indicamos así y creamos el xml pero a la hora de buscar la carpeta donde se guardan los xml generados veo que no es la que indica el programa en sus documentos factura face no hay facturas creadas desde el 2022me dice que últimamente tiene problemas en buscar la factura que se la busque yo en el ordenadorla carpeta donde se la guarda está indicada en otro sitio se la busco y le digo que tiene que ser su informático quien vuelva a moverla a su lugar de origen para evitar problemasno le gusta la idea dice que yo que le ayudo en el programa tengo que decirla dnd estan se lo explico pero la recalco que debe ser donde estaban al principiosubimos la factura a face,gestión
28,165497,buenos dias tengo un albaran que no me deja facturarlo no se porque podeis ayudarme,factura,el albarán tenía asignado un representante que estaba bloqueadose desbloquea el representante y ya permite crear la factura,consulta del cliente,buenos dias tengo un albaran que no me deja facturarlo no se porque podeis ayudarme04122023 miguelsoluciónel albarán tenía asignado un representante que estaba bloqueadose desbloquea el representante y ya permite crear la factura,gestión
29,165495,buenos diasestoy intentado hacer albaranes y me salen los siguientes errores de los que adjunto captura de pantallaun saludo,no puedo hacer albaranes,el error se ha producido porque el sql estaba procesando la actualizaciónahora permite realizar documentos sin problema,consulta del cliente,buenos diasestoy intentado hacer albaranes y me salen los siguientes errores de los que adjunto captura de pantallaun saludo04122023 miguelsoluciónel error se ha producido porque el sql estaba procesando la actualizaciónahora permite realizar documentos sin problema,sistemas
30,165476,no se actualizo la licencia me faltan 16 dias me lo programasteis para hacer que cada lunes se actualizara per lleva una semana que no se actualizo,el programa no se actualizo,se actualiza el programa las licencias temporales de a3erp 30 días,consulta del cliente,horario de 700 1300 y 1500 1900no se actualizo la licencia me faltan 16 dias me lo programasteis para hacer que cada lunes se actualizara per lleva una semana que no se actualizono se ejecuta la tarea programada ya que el usuario no tiene permisos y no se sabe la contraseña de administrador,sistemas
31,165412,holahemos contabilizado una factura que por más que revisamos no vemos porque nos quita una parte del iva como no deducible el programa adjunto lo que hace al contabilizarel caso es que así se ha quedado transmitida asi y el iva es completamente deducible por favor podéis llamar el lunes urgentemente a alberto porque el resto de días no esta nadie para ver que ha sucedidosaludos,urgente error de contabilizacion traspaso a sii,en el pie de la factura en detalle de impuestos figuraba en la cuota deduc un importe incorrectose pone el importe correcto se comprueba que el asiento ya es correcto y se envía como modificación al sii,consulta del cliente,holahemos contabilizado una factura que por más que revisamos no vemos porque nos quita una parte del iva como no deducible el programa adjunto lo que hace al contabilizarel caso es que así se ha quedado transmitida asi y el iva es completamente deducible por favor podéis llamar el lunes urgentemente a alberto porque el resto de días no esta nadie para ver que ha sucedidosaludos04122023 miguelsoluciónen el pie de la factura en detalle de impuestos figuraba en la cuota deduc un importe incorrectose pone el importe correcto se comprueba que el asiento ya es correcto y se envía como modificación al sii,gestión
32,165410,buenassstenemos cada vez mas clientes que nos dicen que les giremos a una fecha en concreta pero no los días tal y tal de cada mes redondeando a formas de pago habituales de 60 dias 90 etc si no que el total de la mercancía enviada ahora se lo giremos a una fecha concreta tenemos varias formas de pago creadas así muy tipica para nostros a 1 de julio pero para lo unico que nos sirve es para recordarlo y luego factura a factura hacerlo a mano no hay forma de crear una forma de pago a una fecha concreta no vemos la forma intentar lo hemos intentado saludos,pregunta configuracion formas de pago en a3cloud,no se puede crear una forma de pago personalizada tal y como indican ya que esa funcionalidad no es personalizablepero sí que pueden crear un día de pago dentro de la ficha del cliente y así todas las facturas serán generadas para el vencimiento en el día indicadoejemplo si indica el día 1 todas las facturas de ese cliente serán giradas el 1 de cada mes independientemente del día en que fuese generado el vencimientose pueden generar hasta tres día diferentes de días de pago dentro de clientes facturacionadjunto ayuda de wke,consulta del cliente,buenassstenemos cada vez mas clientes que nos dicen que les giremos a una fecha en concreta pero no los días tal y tal de cada mes redondeando a formas de pago habituales de 60 dias 90 etc si no que el total de la mercancía enviada ahora se lo giremos a una fecha concreta tenemos varias formas de pago creadas así muy tipica para nostros a 1 de julio pero para lo unico que nos sirve es para recordarlo y luego factura a factura hacerlo a mano no hay forma de crear una forma de pago a una fecha concreta no vemos la forma intentar lo hemos intentado saludos 04122023mlauraquieren una forma de pago para que todas las facturas que generen su vencimiento sea el mismo díano se puede crear una forma de pago personalizada tal y como indicanpero sí que pueden crear un día de pago dentro de la ficha del cliente y así todas las facturas serán generadas para el vencimiento en el día indicadoadjunto ayuda de wke,gestión
33,165406,no puede entrar en a3,sin acceso a a3erp,hoy a entrado bien al programa,consulta del cliente,no puede entrar en a304122023mlaura incidenciael viernes no fue capaz de entrar al programa en una ocasión otras se le quedaba congelado estaban todos sus compañeros dentro del programahoy en principio ya va biensi le vuelve a pasar nos abrirá el ticket,gestión
34,165404,no genera bien el archivo para enviar al banco,problema con una remesa,generamos la remesa y se manda al bancoantes de remesar comprobar que todos los clientes tengan bien informados el banco,consulta del cliente,horario de 800 1400no genera bien el archivo para enviar al banco01122023mlaura incidenciahacemos una remesa se genera bien el xml pero luego al ir al banco nos da un error de fecha ilogicaimg,gestión
35,165387,hola necesito que me llameis porque no deja coger el lote de un producto y no sabemos q hacerun saludo,no puedo coger un lote,pasamos el visualizador de transacciones de stock y se puede hacer el albarán de ese producto,consulta del cliente,hola necesito que me llameis porque no deja coger el lote de un producto y no sabemos q hacerun saludo01122023mlaura incidenciallama javierimg,gestión
36,165385,nos sale un error al cargar el programa pone lo siguientedbnetlib connectionopen connect0 no existe el servidor sql server o se ha denegado el acceso al mismo,no podemos entrar al programa,al reiniciar el servidor se solucionó el problema,consulta del cliente,horario de lv 900 1300 y 1600 1900nos sale un error al cargar el programa pone lo siguientedbnetlib connectionopen connect0 no existe el servidor sql server o se ha denegado el acceso al mismohablo con josepimg,sistemas
37,165369,necesitan que demos acceso a su servidor a sus informáticos sistemas acceso interactivo persona de contacto elias teléfono 93 5906366 extensión 2,acceso al servidor,hablo con carlos él no ha creado ninguna tarea ni sabe nada al respectoquedamos en cerrar tarea y esperar a que el que necesite algo llame o cree tarea de forma más concisa,consulta del cliente,necesitan que demos acceso a su servidor a sus informáticos sistemas acceso interactivo persona de contacto elias teléfono 93 5906366 extensión 2soluciónhablo con carlos él no ha creado ninguna tarea ni sabe nada al respecto quedamos en cerrar tarea y esperar a que el que necesite algo llame o cree tarea de forma más concisanota desde sistemas me confirman que nosotros no tenemos acceso a su servidor,sistemas
38,165355,estoy facturando el mes de noviembre y no encuentro las facturas que ya he hecho e impreso no aparecen en la relacion de facturas y tampoco los albaranes que son de esas facturasurgente,problemas con la facturacion,solucionado por el cliente,consulta del cliente,estoy facturando el mes de noviembre y no encuentro las facturas que ya he hecho e impreso no aparecen en la relacion de facturas y tampoco los albaranes que son de esas facturasurgente01122023mlaurasolucionado por el cliente,gestión
39,165339,como aplicar un coste de transporte al precio de un articulo desde el albarán de compra tenemos un vehículo que recoge mercancia de proveedores y queremos inputar a los artículos que trasiega un precio de transporte que quede reflejado en el coste del producto,imputar coste transporte,en la pestaña costes imputados podemos añadir más coste por línea de producto según tengamos internamente fasto o por medio de otro documento se indicará en el coste adicional de la línea de la co,consulta del cliente,horario de 900 1330 y 1600 1930 como aplicar un coste de transporte al precio de un articulo desde el albarán de compra tenemos un vehículo que recoge mercancia de proveedores y queremos inputar a los artículos que trasiega un precio de transporte que quede reflejado en el coste del productosoluciónen la pestaña costes imputados podemos añadir más coste por línea de producto según tengamos internamente fasto o por medio de otro documento se indicará en el coste adicional de la línea de la compra,gestión
40,165335,buenos dias soy inma de seragro integral estoy intentado sacar unos listados de articulos pero estoy intentado filtrar y tocar la configuracion y no me deja ni a mi ni a mis compañeroste paso el error,error,los usuarios de marcos juan e inma1 dar errores de access violation en la configuración de vista grid de artículos para poder corregirlo y tras varias pruebas cambiando perfiles y agregando otrosse crean nuevos usuarios y perfiles asignados a los mismos para la gestión de a3erp,consulta del cliente,horario de 800 a 1700buenos dias soy inma de seragro integral estoy intentado sacar unos listados de articulos pero estoy intentado filtrar y tocar la configuracion y no me deja ni a mi ni a mis compañeroste paso el errorproblemasoluciónlos usuarios de marcos juan e inma1 dar errores de access violation en la configuración de vista grid de artículos para poder corregirlo y tras varias pruebas cambiando perfiles y agregando otrosse crean nuevos usuarios y perfiles asignados a los mismos para la gestión de a3erp,gestión
41,165331,buenos díascuando puedan se ponen en contacto conmigotengo un problema en el pago de una factura a proveedores que me ha duplicado el programagraciassaludosles informamos que nuestra empresa permanecerá cerrada del 7 al 10 de diciembre por festividad nacional noelia abad,pago factura,se desliga el apunte contable que ha quedado reflejado en el mayor y no tiene cartera asignada para poder borrarlo y generar otra vez la factura y su correspondiente cartera y contabilidad,consulta del cliente,buenos díascuando puedan se ponen en contacto conmigotengo un problema en el pago de una factura a proveedores que me ha duplicado el programagraciassaludosles informamos que nuestra empresa permanecerá cerrada del 7 al 10 de diciembre por festividad nacional noelia abad01122023mlaurahe intentado llamar varias veces y se cancela la llamada despues de su correo he vuelto a intentarlo y sigue igualsoluciónse desliga el apunte contable que ha quedado reflejado en el mayor y no tiene cartera asignada para poder borrarlo y generar otra vez la factura y su correspondiente cartera y contabilidad,gestión
42,165326,una factura con una dirección que he modificado sigue saliendo igual,dirección modificada en factura,coge del campo dirección 2 la dirección del cliente para la factura de venta,consulta del cliente,una factura con una dirección que he modificado sigue saliendo igual01122023mlaura no esta en la oficina llamar el lunes solucióncoge del campo dirección 2 la dirección del cliente para la factura de venta,gestión
43,165324,buenos díashe renovado el certificado digital y hay que modificarlo en el programa no consigo hacerlo necesito enviar una factura de face hoypor favor contestarme lo antes posible,certificado digital nuevo,para poder instalar el certificado en el programa a3erp debe de estar el certificado instalado en el ordenador no sirve tenerlo en el servidorcomo he comentado una vez tengan el certificado en el ordenador en el que trabajan pueden llamarnos de nuevo y procederemos a instalarlo en a3erpsi tienen algo que indicar pueden mandar un correo a clientessdies,consulta del cliente,horario de 900 1300 buenos díashe renovado el certificado digital y hay que modificarlo en el programa no consigo hacerlo necesito enviar una factura de face hoypor favor contestarme lo antes posible01122023mlaura incidenciatiene instalado el nuevo certificado en el servidor y el programa no se lo reconoceimg,gestión
44,165322,,fichero que no saca del a3erp,corregimos la domiciliación del cliente y volvemos a generar el fichero de remesa,consulta cliente n2,problemaefecto de cliente que no se genera fichero remesa en el puesto incluso da errores de que no existe buscándolo en el puestoimg,cartera
45,165315,buenasnecesito que me expliquéis como se crean fichas de amortización tengo que crear varias elementos de transporte maquinariaetcmuchas gracias,crear ficha de amortización,se muestra al cliente desde al a3responde donde explica paso a paso cómo hacerlosi le surge alguna duda o comentario nos avisaráactivos fijos wolterskluweres,consulta del cliente,buenasnecesito que me expliquéis como se crean fichas de amortización tengo que crear varias elementos de transporte maquinariaetcmuchas graciassoluciónse muestra al cliente desde al a3responde donde explica paso a paso cómo hacerlosi le surge alguna duda o comentario nos avisaráactivos fijos wolterskluweres,gestión
46,165298,,13h actualizar a3erp,buenos díasse ha actualizado a3erp y siiadjunto links a las principales mejoras de las nuevas versiones de a3erp así como de siiversiones un saludo,mantenimiento preventivo,horario 5001300hactualizar el programa tienen la versión 140406el motivo es porque les ha salido el bug de fra borradora3erp 1404061 140408sii 310 330convesii 136canonsigfito 450 460,sistemas
47,165296,al entrar en a3 mensaje arrancando espere,error otro a3erp está arrancandoactualizando espere unos segundos,solucionar con sql el problema de arranque de a3erp,consulta del cliente,al entrar en a3 mensaje arrancando espereno pueden entrar en 3 equipos ni en el servidorpruebo en el servidorimg,sistemas
48,165295,explicar cambio de codigos,cambio de códigos,se aconseja en estos casos renombrar el artículo que tiene el número de registro antiguo crearcopiar con el mismo código un artículo e indicar el número de registro nuevo después realizar una regularización sacando las existencias con el número de registro antiguo y dando entrada con el número de registro nuevo marcar el artículo con el registro antiguo como obsoleto y bloqueado,consulta del cliente,explicar cambio de códigospregunta por yolanda porque ya ha llevado el tema y no quiere tener que explicarlo otra veznota 01122023 yolandahe llamado pero ya estaban se habían ido de la oficinalo que hay que explicar a fuensanta es lo que se ha explicado a su compañero se aconseja en estos casos renombrar el artículo que tiene el número de registro antiguo crearcopiar con el mismo código un artículo e indicar el número de registro nuevo después realizar una regularización sacando las existencias con el número de registro antiguo y dando entrada con el número de registro nuevo marcar el artículo con el registro antiguo como obsoleto y bloqueado04122023mlaura incidenciale explico a fuensanta lo que yolanda me ha dejado escritodice que no le podemos llamar a las 1400 horas porque es su descanso para comera parte ella quería hablar con yolanda pero como no esta ya entiende la solución que le propongo pues ya está me cuelga el teléfono sin más,gestión
49,165287,buenos días ayer estuvieron realizando actualizaciones en el programa y hoy no podemos acceder al programa en algún ordenadorpor favor necesitamos solucionarlo lo antes posibleun saludo,error al abrir programa,se realiza actualización pendiente del puesto de manuel para poder acceder a los módulos,consulta del cliente,buenos días ayer estuvieron realizando actualizaciones en el programa y hoy no podemos acceder al programa en algún ordenadorpor favor necesitamos solucionarlo lo antes posibleun saludosoluciónse realiza actualización pendiente del puesto de manuel para poder acceder a los módulos,sistemas
50,165282,buenos dias he sacado 3 pedidos a fabricar ahorapor favor fuerzalos para sacar las etiquetas ahoraque me corren prisa gracias,twister,lanzar sincro de twister para pasar los pedidos,consulta del cliente,buenos dias he sacado 3 pedidos a fabricar ahorapor favor fuerzalos para sacar las etiquetas ahoraque me corren prisa gracias,procesos externos
